text,label,cleaned_review
"great product, really loved it!",1,"great product, really loved it!"
"terrible service, very disappointed.",0,"terrible service, disappointed."
the delivery was quick and on time.,1,delivery quick time.
i will never buy from here again.,0,never buy again.
"amazing quality, totally worth the price.",1,"amazing quality, totally worth price."
product broke after one use.,0,product broke one use.
customer support was very helpful.,1,customer support helpful.
worst shopping experience ever.,0,worst shopping experience ever.
highly recommend this to everyone.,1,highly recommend everyone.
item did not match the description.,0,item match description.
fast and efficient service.,1,fast efficient service.
"it was okay, not the best.",0,"okay, best."
absolutely fantastic!,1,absolutely fantastic!
not satisfied at all.,0,satisfied all.
exceeded my expectations!,1,exceeded expectations!
will definitely buy again.,1,definitely buy again.
it’s not worth the money.,0,it’s worth money.
superb packaging and quality.,1,superb packaging quality.
the item arrived damaged.,0,item arrived damaged.
five stars from me!,1,five stars me!
very cheap material.,0,cheap material.
"loved it, thank you!",1,"loved it, thank you!"
"not good, not bad.",0,"good, bad."
extremely pleased with my order.,1,extremely pleased order.
too expensive for what it offers.,0,expensive offers.
everything was perfect.,1,everything perfect.
this is my favorite brand.,1,favorite brand.
the color was completely off.,0,color completely off.
i had a great experience.,1,great experience.
really poor quality.,0,really poor quality.
very user-friendly and reliable.,1,user-friendly reliable.
wouldn't recommend to anyone.,0,recommend anyone.
simply the best!,1,simply best!
didn't work as expected.,0,work expected.
very impressed by the performance.,1,impressed performance.
it stopped working after a week.,0,stopped working week.
"perfect fit, loved the design.",1,"perfect fit, loved design."
feels cheap and flimsy.,0,feels cheap flimsy.
very smooth transaction.,1,smooth transaction.
they sent me the wrong item.,0,sent wrong item.
totally satisfied with the purchase.,1,totally satisfied purchase.
poor customer service.,0,poor customer service.
this made my day!,1,made day!
extremely uncomfortable to use.,0,extremely uncomfortable use.
exactly what i needed.,1,exactly needed.
do not waste your money.,0,waste money.
so happy with this buy!,1,happy buy!
regret buying this product.,0,regret buying product.
the size was just right.,1,size right.
it’s falling apart already.,0,it’s falling apart already.
beautiful and elegant.,1,beautiful elegant.
"awful smell, had to return it.",0,"awful smell, return it."
loved the color and material.,1,loved color material.
it didn't meet my expectations.,0,meet expectations.
very helpful and informative.,1,helpful informative.
bad experience overall.,0,bad experience overall.
a great value for money.,1,great value money.
terrible packaging.,0,terrible packaging.
exceeded all my hopes!,1,exceeded hopes!
i want a refund now.,0,want refund now.
